risk,comment
1,접속하자마자 제가가지고 있는변신 모두사라졌습니다.빨리수정 부탁합니다.
1,엘프 궁수 하는데 4렙때 자동 스킬 아레로 드래그하라면서 회색화면으로 다른건 터치도 않되서 스킬도 못찍고 다른것도 할 수가 없네요 어떻게 해야될가요
1,왜 안깔리냐..
1,유져 엿 먹임
1,도박장
1,반성하자
1,입구컷 당해요ㅠㅠ 저장 공간이 14GB 넘는 데도요
1,5분에 1번씩 팅김 ㅋㅋ
1,쓰레기겜
1,Fft
1,들어가는데 저장용량도 충분하는데 5777저장용량이 필요하다고해요 별 1개 주기도 아깝네요
1,그닥....실망이컸음..
1,저장공간 5557 mb나 필요하나요? 시작을 못하잖아여
1,사전예약한거 쿠폰 언제들어오나요 시작해야해는데..그리고 사전예약한걸로 연동방법도알려주세요 공식페이지에 기재도안되어있네요
1,너무 과금에만 신경썻음
1,망작이네요 차란리 레볼루션하는게 어떨까싶습니다 그랙빅도안좋고
1,하지마세요..ㅣ
1,NC관계자는 무과금으로 이게임 해봄?? ㅋ
1,알수없는 에러라고 뜨면서 접속을 할수없어요
1,속았다
1,지금 앱만깔았다가 53만원 나갔다고 하는데 무슨환불정책어긋났다는 개소리만 늘어놓고 해결해주세요
1,1:1 문의를 했는데 대답도없는 집단 4일5일됫다 환불해주라니까 대꾸도없네 이게임 사기냐
1,개가튼게임
1,이실로테 성장 상자와 TJ쿠폰을 구매했지만 상품이 인벤토리에 없네요 서버가 튕긴건지 구매 취소가 된 건지 아이템은 들어오지 않고 구매횟수만 찼네요 때문에 다시 구매하려고 해도 횟수제한 때문에 구매하지 못하고 있습니다 서버는 이실로테 3서버이고 닉네임은 크라운입니다. 빠른수정 부탁드립니다
1,뒤로
1,별하나도 아까운 게임이다. 이딴 게임에 인생과 돈을 낭비하지 않길 바래본다.
1,지나친 과금 유도
1,뽑기확률로 파는게 사행성이 아닌가? 정당한 재화제공에 대한 제품을 확률로 판매한다면 직원들 월급도 확률로주면 되겠네
1,구글결재누가했노 당장연락하소 신고며머며다해버릴라니께
1,꺼져~ 쓰레기게임
1,현질유도 확실한 게임 명작을 졸작으로만드는 엔씨의 무궁무진한 능력 돈빼먹기의 달인 하지만 재미있어서 못끊는다...
1,약관에 동의가않되요
1,예전에 재밌게 했는데 지금들어가니 저장공간 부족하다고 뜨네요ㅡㅡ 27기가 시용가능이라고 나와있어서 이게임과 비슷한 용량의 게임을 깔았는데 그건 잘되는거에요 뭐죠? 빠른 답변 부탁드립니다.
1,good
1,12세이용가능이라 급식충이많아서 메인캐중에 이유없이 유저죽이는늠들처리해라....운영자들 모니터링좀해서 현긍거래하는유저좀막아라...게임중 반복적인 팅김현상이많아 유저들 많이접었으니 확인좀하고 조치해라...돈벌이만쳐하지말고
1,먼 패치 받는데 하루종일 이냐 개세야
1,과금러 못이기는건 당연하지. 근데 아인하사드의저주.. 즉 사료. 적어도 현질안해도 사람구실은 할수있게해야지. 현질안하고는 겜도 못하게 하는 뭐같은 아인하사드 ㅋㅋㅋㅋㅋ
1,우리나라 노예종족들은 말로는 서민 서민 뒈지네 뒈지네 하면서 정작 이런게임에는 돈을 어디서 끌어오는지 몃억씩 과금하고 또 부족한가 몃십억씩 과금하면서 나라국가한테는 아이고나죽네 서민 뒈지네 세금 그만뜯어가 이짓거리하고 놀고자빠졌다 그지같은 노예들
1,넘 많은 용량
1,별로ㄱ
1,그냥 돈좈나잇어야할게임 게임하다 대츌까지 받아야 할판
1,결제 관련해서 메일보냈는데 이틀이 지나도 안읽으시네요?
1,쓰레기사기꾼 NC 현질유도하고 섭이전이벤트못사게막아놓고 환불도안해주는 쓰레기 기업
1,기기를 바꾼것도 아니고 ...번호만 바끼었을뿐 인데 ...버벅되서 앱을 지우고 다시 깔았는데 인증이 안된다는게 이해가 안가네요 기기 인증이 안되면 계정으로라도 되게 해야 되는거 아닌가여? 아니면 번호 인증을 바꾸게 해주던가여 계정도 안되고 인증 번호를 바꾸게 하는게 있는것도 아니고 ...진짜 짜증이 확 나네여 캐릭 하나는 70랩 다 되어 가고 캐릭 하나는 65랩 이상 인데...쉽게 키운것도 아니니 더 화가 나네여...답변이 어이가 없으시네여 스샷 해서 보냈는데 뭘 또 보내라는건지...
1,핸펀으루도 또 당하는 바보들 아직도잇냐???
1,영변영인 드랍률올리삼
1,이렇게 돈이 허무하게 없어지다니...
1,별루
1,; 까세요 30분 설치하고 3분 게임하고 나옴
1,망할게임
1,아니 무슨 프리써버냐 무슨맨날 정검이야
1,돈벌래들
1,게임도중 접속종료되고 재 접속하니 에러문구때문에 접속이 안되네  ErrorSource : 1 ErrorDomain : 3205 ErrorCode : 3607 ErrorMessage : CLUSTERDOWN The cluster is down
1,이런
1,끝없는 과금의 연속
1,yss
1,답변을 달려면 다 달아라 미친 엔씨야
1,돈빨어먹는 게임
1,개 쓰 래기 게임 하지 마서요
