risk,comment
0,잘되라 다운로드
0,제가한rpg게임에서가장재미있는게임입니다
0,제발 사행성 안했으면....ㅠㅠ 이벤트다운 이벤트..ㅡㅡ 뜻좀알았으면 합니다
0,아 리니지 ...... 내가 여태까지 했던 rpg중 단연컨데 1등이리고 생각할만큼 섬세한 그래픽과 풍성한 스토리인것 같다. 개발자님. 앞으로 좋은 게임많이 내주세요.
0,좋다고 씨블
0,안녕하세요
0,아니게임을 이따구로만드시면어떡해요 인벤토리칸도 안올라고
0,갓겜
0,왜 안되지?뭐가 문제야?
0,로그인이 안됨
0,재미있을것같은데 용량이 너무 커요. 5.5GB는 너무 하잖아요.ㅠㅠ
0,청소년불가등급은 어디서 받을수있나요 12세 한가지로만 출시인가요?
0,좋아요
0,꿀잼
0,최고
0,좀더 해보고싶다
0,좋아요
0,이거업데이트왜안되고 대기중이라고만떠잇나요
0,다운로드기록 삭제 부타고드려요
0,인생게임
0,굿
0,Really fun game
0,정말재밌습니다.그런데 12에서 18로 넘어갈때 데이터가 온전하게 넘어가는건가요? 정말궁금합니다
0,최고
0,최고입니다
0,재밌다
0,19세랑 12세랑 나눌거몀 확실히 나누지 거래소 유뮤처이면 작업장은 12세도 잇자나 아템 어케먹어ㅜㅜ 그리구 린저씨들때뮨에 막피 아.... 돈없는 청소년은 어떻게하라규
0,리니지 어렵노
0,룰게임 중에 재밌는것 같아요.
0,"꽤 재밌고,중독성 있음 rpg게임중 진짜 재밌음."
0,기사케릭 열심히 키우고있는데 사라졌네요 복구좀 해주세요 ...ㅠㅠ
0,보스탐렉이너무심한거같읍니다.
0,rpg게임중 가장 재밌는 게임
0,재밋음
0,좋아요
0,참신함
0,처음이라서
0,조아조앙
0,이용약관에서 다음으로 안넘어가네요?
0,정말재미서요
0,저 혹시 제 아이디가 있나 문의드리려는데 어디에 연락드려야할까요 이메일좀 알려주세요
0,야장난하냐??
0,근대철을많이나오게해주세요돈도요
0,달의장궁주세요
0,접속오류가생겼는데.. 먼가요. ㅠㅠ
0,굿굿굿굿굿
0,아주좋음
0,good
0,오래오래할께요
0,재미있습니다.그래픽도 좋지만 렉은 조금 걸려도 재미는 있습니다~이 게임 중에서 갓꿀잼 이네요
0,감사
0,넘 조아요
0,리니지 탄력받음 이제부터 만렙 도전간다
0,굿
0,엔씨여 영원하라!!
0,굿
0,정말 재밌어요
0,무개념들아 12세는 청소년는 게임법 상으로 거래소 이용불가능 한거라 12세 만든거다 거래소 이용하고싶으면 18세 이용해라
0,열심히 리니지m을 하고있었는데요 제가 통신사를 바꿔서 기기인증을 못하고있어요 어떡해야 제 계정찾을수있죠?? 제발도와주세요ㅠㅠ
0,일단 제가 리니지 컴퓨터 이용가입니다 컴퓨터는 게임아이템이 너무 비싸서 저는 이저 20 만원정도 돈을 컴퓨터 리니지에만 썼는데그정도로 재밌는 겜을 모바일출시시켜주셔서 정말 감사합니다 잘즐기고 있는 플래이어 입니다 감사합니다!
0,뭔가 조작이 살짝 어렵지만 타격감은 확실이 최고👍👍👍
0,웅 조아
0,내화이팅하세요
0,굿
0,좋인
0,🐯🐯🐯
0,굿
0,이거 재폰이 구데기 여서 렉걸렸던거네요 죄송합니다 엔씨분들
0,너무 재미있는데 게임이 힘들고 강화때문에 손해가 너무 커요. 노가다 요소 좀줄여주세요. 게임은 정말좋습니다!
0,솔직히 리니지m(12) 15세로 해야될듯...
0,조아
0,게임약관 화면 필수두개 체크했는데 다음으로 어떡게 넘기나요?
0,조아요
0,해외에 있어서 한국 휴대폰이 없습니다. 성인인증 어떻게 하나요? 네? 2년을기다렸는데 답변이없네 ㅋ
0,영자님 게임패치받을때저장공간이부족하여안댄다고하길래지울건다지우고할려는데패치다운이안받아지네요빠른해결부탁드립니다 ㅠㅠ하고싶어서요
0,캐릭터 삭제가 힘듬
0,알바천국
0,아주 재밌음
0,good
0,굿
0,거래소가 없는 것에 매우 안타깝네요.
0,재밌다!!
0,무과금 8일차! 완죤꿀잼! 천천히 템맟춰가능중~
0,좋아요
0,굿
0,굿
0,오키도키
0,재미있어요 옛 추억도 생각나고요
0,잼나요
0,프레이가안돼요
0,아이템좀잘나오게해주세여
0,gg
0,좋아요 아템 드랍이 넘넘넘 한번도 안줘서 지겹지
0,이거 공격 버튼 주위에 셀프버튼하고 아이템에다가 물음표 되있는 표시는 어디다가 쓰는거예요??
0,good
0,혹시 아툰10에 캐릭터 생성하려고 하는데 캐릭터 생성이 않되요 캐릭터 생성할수 있게 해주세요~~ㅠ.ㅠ
0,맵좀 두배로 늘려주시고 미친 아인값 조절 좀 여! ! ! 버럭 !
0,원래는 리니지m이 어른만 할수있었는대 어린에도 할수있어서 별4개 게임이 작동방식이 같아1개 총5개
0,제가 리니지를 좋아하는데 성인이 아니여서 다른 리니지가 있다고 해서 찾아봤는데 이거 진짜 재밌어요
0,잼남
0,추억이 있는 재미있는 게임
0,솔직히 게임자체는 좋은뎅 다크에덴이랑 호불호가 너무 갈려서 둘다깔면 용량이커서 리니지m(12)는 패스
0,벸다턱갗샅딘
0,리니지 12세와 19세의 차이점은 뭔가요?
0,과금만 없으면 최고인데.
0,다른건 다 좋은데 무기를 강화하는 재료 얻기가 너무 어렵습니다 운영자님 답변 부탁드립니다
0,저희매형이 이게임하는거보고 리니지m이어네여 ㅎㅎ 근데 매형이하는거보고제있을것같아서게임이름을물어봐서요 18세리니m도있더라구요 ㅎㅎ 18세리니지m과12세리니지m은머가다른건가요??
0,결제된거 취소하려면 어떻게해야하나요~~??
0,Good
0,굿 게임
0,굿굿
0,아주좋아요
0,꿀잼
0,내맘에여유공간 ^^
0,잼있게 즐기구 있습니다
0,타임킬링 으로는 좋네요ㅋㅋㅋ
0,굿
0,리니지 M 하면서 노래들으면서 했는데 어느순간부터 안되는데 이유가 뭔가요? 잘되던게 노래라도 듣게 해주세요
0,재미있네요
0,굿
0,몬스터 HP좀 표시해 주세요
0,좋은정보 부탁합니당
0,계속 지금처럼....
0,추억의 갓겜
0,전반적으로 모바일이란 느낌이안들정도로 시스템도 다양하고 좋습니다
0,재미가있어요
0,게임 중에서 할게 이것만만족해요
0,다 재밌게 하고있어요~~ 그런데 성당은 어디있죵?
0,몹보다 사람이 많은돗 메크로도많구
0,모름아직많이부족하지만열심히해서
0,재밋게갬해요
0,굿
0,감사합니다
0,변준섭 똘구vs김휘섭 똘구=똘구섭
0,잼있내요
0,구매내역삭제가능한가요?
0,정말재미있어요꼭해보세요
0,Good
0,재밌게잘하고있습니다 근데 템이잘안나오네요
0,굿
0,안녕하세요 리니지를 플레이하던 유저입니다 다름이 아니라 제가 SKT통신사에 기종은 v30이용 중인데 예전이는 잘만되던게임이 최근에 할려고하니 5일이 넘도록 게임을 지웠다 깔았다햐도 실행이되지않고있습니다 이미 이메일로 문의보낸상황인데 답변이 이틀이지나도 오지않아 이렇게 플레이스토어에 리뷰로 말씀드리네요 해결벙안좀 알려주시면 감사하겠습니다
0,12세 버전은 거래소가 없어서 아쉽네요 다른게임 처럼 트@플s처럼 거기 거래소 있잔아요 그런식으로 12세도 거래소 출시하면 안될까요?
0,게임 그렉픽이 좋아요
0,꾀 재미있는게임입니다.
0,안녕하세요. 재밌게 즐겨하는데 2차인증을해도 자꾸 중복로그인이떠요 ㅠㅠ해결해주세여
0,평점 후하게 남겻으니 템좀주세요 ..
0,재밌고 컨트롤이 아주 좋아요 !
0,잼나요
0,최근에 투사 업데이트로 더 재미있어져서 자주합니다! 더많은 캐릭터들을 만들어주세요!
0,최고최고👍
0,꿀잼꿀잼
0,Good
0,다 다 좋음ㅎㅎㅎㅎ
0,긋이요 ㅎㅇㅎ
0,급나잼나요
0,택진씨 정말멋진게임입니다ㅋㅋㅋ 좋은템 영인 영변 부탁드립다ㅋㅋㅋ
0,추천
0,hgg
0,고고씽
0,다 좋은데 저렙존에서도 희귀템 좀 드랍되게 해주세요^^저렙도 유저인데 쓰레기만 주긴가요? 과금유도 ㄷㄷㄷ 기본3백만원 쓰지못할분은 시작도하지 마세요^^*
0,이거 18세 게임인줄 알았는데 아니였네 이런것도 남겨 주셔서 감사 합니다
0,사기당햇는데 환불요청 부탁드립니다 ...
0,추억겜 잼나요ㅎㅎ
0,너무 재밌어요
0,리니지m보다 리니지m(12)가더나음 데신 강화하가 어려울분이
0,저기요 이게 리니지12 잖아요 그러면 그냥 리니지m유저하고 만날수 있나요? 그리고 리니지m하고 리니지12하고 다른게 있나요?
0,"리니지M 평가를 하자면 한 시절 우리나라 PC방을 먹여살린 그 리니지를 보다 편하게 즐길 수 있다. 비록 현금을 써야 더 빠르고 쉽게 
게임을 즐기지만 무과금으로 하면 천천히, 오직 나만의 노력으로 나의 캐릭터가 강해지는 것을 느낄 수 있다. 이 게임이 보다 오래갔으면 
한다."
0,"재미있습니다. 무과금이 힘들고 장비도 잘 안얻어지지만 그걸 얻고. 강화성공하고 pk하는 소소한거에 재미를 느끼고있습니다.^^ 린m 
번영하세요~"
0,여러분 거래소는 안나와요. 거래소 이용하실려면 19세 찍고 리니지M18세 버전쓰세요.
0,정말 재밌어요!!
0,NC팀 야구 제발 잘해주세요
0,짱이에요
0,괴금굿
0,ㅓㅢㆍㄴㆍ근
0,컴백
0,리니지여영원하라~~~♡♡♡
0,굿
0,엉청나게 진지함~
0,와개꿀
0,"리니지를 같이 운영하면 좋겠어요. 리니지m이랑 12세랑 서버도 다르다 보니까 방송하는 분들이나 부모님과도 다른걸로 하면 못 만나니까 
아쉽네요. 12세랑 m을 같이 합치고, 유료거래는 추가로 만들면 좋겠네요...."
0,현질은자유입니다 겜도자유입니다 우리나라는 민주주의 입니다
0,저도 해봤는데 이거는 정말 리니지 게임이 퀄리티가 장난아니네요 게임 너무 재미있습니다 강추!!
0,근데 이거람 리니지 (18)은 뭔가 다른 건가요?
0,좋아
0,업데이트하라고해서 했는데 화면깨져요 ㅋㅋ
0,리니지를 떠났다가 1주년 기념으로 다시 돌아 왔습니다
0,엄청재미있어
0,짱조아요!!
0,느그 아부지 뭐하시노~~ 리니지여
0,요즘 게임들 할거없어서 심심했는데 뇌리를 스쳐간 게임! 잘하겠습니다!!
0,좋아
0,시간 금방 지나가요 재미있어요
0,너무 재밌성
0,굿
0,잼나내요^^
0,재미있는 게임
0,최고의서버
0,잘부탁드려요 ㅋㄱㅋ
0,안녕하세요!!😁😁저녁에도 유쾨한인사 드립니다!! 리니지 레볼루션 은 해보았 지만 이제 제데로 리니지 하니깐 재미 있어요!!
0,약관동의에서 더 실행이 안대는 이유가뭔가요?
0,"12세 총사하고 있습니다. 기본장비도 받아서 키우고 방치형게임으로 켜두면 완전 혜자입니다. 원래 법사했는데 아인안사고 1년 클래스 
100위권 유지했어요. 다만 라인이 전체통제라며 막피로 전환해서 리니지로 갈아타려고 갔는데 70렙에 사냥이안되고 파밍도 못하는데 
자동사냥도 없어요. 자동사냥있으면 방치형으로 파밍해나가겠는데 불가능해요. 리니지M이 완전 혜자겜이에요."
0,ㅋㅋ초딩도 합니닼ㅋㅋ
0,아주좋아요.
0,"정말 재미있는 게임 인데 딱! 한가지 아쉬운점이 있다면.. 컨트롤이 손에 촥촥 감겨야되는데 뭔가 움직일때마다 살짝씩 끊기는 느낌이랄까 
부드럽지가 않아요..ㅜㅜ 그래도 게임은 재미있어요!! 재미있게 플레이 하겠습니당!!"
0,안좋은점은 저장곤간이만이나감
0,사전예약 안대나요 총사
0,굿
0,무자본이 절대할수없음
0,좋아요
0,yee
0,최고의 명작!
0,저기..... 캐삭을 바로할수있개좀 해주세요....... 제발요....레벨 제한도없이...캐삭할수있도록 해주시면...
0,좋아요 굿
